target,emotion_intensity,sombre,content,calm,uneasy,num_colours,num_objects,willing_to_pay,season_Spring,season_Summer,season_Fall,season_Winter,room_Bedroom,room_Bathroom,room_Office,room_Living_room,room_Dining_room,view_Friends,view_Family_members,view_Coworkers_Classmates,view_Strangers,view_By_yourself,feeling_desc,food,soundtrack
0,8.0,4.0,3.0,4.0,2.0,4.0,4.0,1500000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,"This painting makes me feel a sense a fleeting emotions and temporality. I like the use of colour because as the sun sets, it makes me feel like there will be a tomorrow whilst grieving the today.",Banana,"The soundtrack would be calm and serene. There's a weird uneasiness to it though, that things won't last and a feeling that you'll lose it all."
0,8.0,4.0,2.0,2.0,4.0,5.0,6.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,This painting make me feel weird and little sad. Time look melting and nothing feel normal. It make me think life go fast.,Old cheese that stay too long,"The soundtrack is very slow and quiet. Sound feel empty and long. Notes stretch and feel tired, like waiting and nothing happen. Music feel lonely and strange."
0,9.0,5.0,2.0,3.0,4.0,3.0,5.0,200.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,It makes me feel lost and sad. ,coconut,the soundtrack would be a violin piece. it would be slow but intense.
0,3.0,4.0,1.0,1.0,4.0,3.0,6.0,100.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,"Shocked, mysterious, unreal ","A single soft-boiled egg, yolk just barely holding together.","Suspended, quietly unsettling. A single distant piano note drops into the air and lingers far longer than it should, as if streched."
0,6.0,4.0,2.0,2.0,5.0,4.0,3.0,100.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Very uneasy,Coffee,Slow orchestral strings ensemble
0,7.0,4.0,2.0,1.0,4.0,5.0,3.0,50.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Perhaps the fragility of time as it passes so quickly. Seeing as the clocks are bended, one almost gets this feeling that the past also loses its importance or fades away as time moves forward. Overall, its sort of a weird feeling. ",Birthday cake,The tides of history move forward and people either choose to stay caught in a specific tide or surf past it. 
0,5.0,4.0,2.0,3.0,4.0,8.0,9.0,50.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"Ominous, it seems like the painting is trying to show how memory, even after years of time spending by, persists, and stays within ones body.",rotten tomato,"An orchestral soundtrack that commences with a very slow and sombre timbre and steadily keeps on increasing intensity and frequency till it reaches a dull minor scale peak, before descending back into silence."
0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,50.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,slowed down and lazy.,cheesecake,slowed classical
0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,100.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"This painting makes me feel a bit strange. The content in the painting goes against reality, and it feels like there are many elements of imagination and distortion.",Sandwich,"It sounds a bit strange, fairly calm, and somewhat random."
0,7.0,4.0,2.0,2.0,4.0,4.0,7.0,150.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,This painting makes me feel as though my life is becoming foggy and I am reflecting on life as it was in a better time. As if I can no longer dream and my time is running out in a bleak world where I can no longer return to the person I once was.,puffer fish,"A slightly joyous melody that starts off fast but slows down as the track goes on becoming sadder, with eerie background music that grows louder and faster until the end where the track abruptly stops."
0,4.0,5.0,2.0,2.0,4.0,3.0,8.0,100.0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,"Uncanny, lonely, still, anxious",Cheesecake,"A low, steady hum and a long, shaking whistle and the static of radio."
0,7.0,4.0,1.0,2.0,5.0,6.0,5.0,10.0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,"Sad, uncertain, slightly disoriented.",Poutine,"I'd imagine a very sombre soundtrack, something that would play in a movie after a very beloved character dies."
0,6.0,4.0,3.0,2.0,4.0,7.0,8.0,50.0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,Uneasy since time in this picture doesn't seem to be a rigid construct,cheese sandwich ,slow dramatic violin notes 
0,8.0,4.0,2.0,3.0,4.0,5.0,8.0,1000.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,It makes me feel sad and drowsy.,Mashed Potatoes.,Slow jazz.
0,10.0,5.0,1.0,1.0,5.0,2.0,3.0,300.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,This painting makes me feel sad and feel like I am running out of time,Soup,Slow and sad music played by a violine of a cello. Burns the Heart
0,5.0,3.0,2.0,3.0,4.0,5.0,3.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"Old, lonely ",Bread,Slow music
0,4.0,4.0,2.0,2.0,4.0,5.0,9.0,20.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,This painting makes me feel cognizant of the connection between and relativity of space and time.,Bitter melon,"The soundtrack would be slow, contemplative, maybe even a little experimental at times."
0,8.0,5.0,2.0,2.0,3.0,3.0,4.0,50.0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,"The painting makes me feel a sense of longing, almost as if time is passing as symbolized by the clocks melting. Accompanied by this, it also makes me feel a sense of urgency since I recognize that time is passing so I feel like I should be doing more with my time! ",Pizza,"Slow brass instruments, trumpets, playing in minor key, lower register notes. "
0,7.0,3.0,1.0,4.0,4.0,5.0,5.0,500.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"It makes me feel slightly uneasy but also calm at the same time. The scene feels quiet and almost frozen, like everything is happening very slowly or outside of normal time.",I can't imagine it as a food.,"The soundtrack would be very slow and minimal, with long stretches of silence between soft, drawn-out sounds."
0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,3.14,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"Strange, repressed",expired but unmelted ice cream,The sound produced by the continuous vibration of metal
0,7.0,5.0,2.0,3.0,4.0,4.0,4.0,888.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"This picture gives me a sense of desparation, a feeling of sunset.",It would be an icecream.,"The soundtrack would be rushed piano in the beginning, slows down gradually with tickling sound, then goes to very slow and sad string ensemble."
0,8.0,4.0,2.0,5.0,4.0,5.0,2.0,20.0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,Time is not very important when in the middle of nature.,Lobster,melancholic
0,8.0,4.0,2.0,1.0,5.0,6.0,4.0,1000.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,Makes me feel like I am running out of time,Turkey with gravy,slow Mozart song
0,7.0,5.0,2.0,2.0,5.0,3.0,5.0,500.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,"I feel anxious, worried about time, endless and a little bit peaceful.",Sandwich.,A soothing combination of ocean waves and delicate piano.
0,5.0,2.0,1.0,1.0,4.0,3.0,3.0,10000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Disoriented and dizzy,pancake with syrup,slow steady cello instrumental
0,8.0,4.0,1.0,4.0,5.0,6.0,5.0,15000.0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,The painting makes me feel tired and lethargic. ,Sandwich,"The soundtrack would be very moody and low sounding, all of it would be classical music. "
0,8.0,5.0,2.0,2.0,4.0,4.0,5.0,100000.0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,It makes me feel very melancholy. It almost forces me to take a step back and reflect. Just puts time in a different perspective,Deconstructed Big Mac at a high end restaurant,"Slow, dramatic, pensive"
0,4.0,2.0,1.0,4.0,3.0,4.0,4.0,400.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,"This painting gives me a sense that time is constantly flowing by. As time passes, the ocean gradually dries up and life perishes.",Gummy candy,"The melody moves at a very slow pace, yet the drumbeat remains crisp and distinct, like a clock ticking precisely every second. Occasional piano accompaniment adds to the oppressive atmosphere."
0,8.0,3.0,1.0,2.0,5.0,4.0,5.0,50.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,"It makes me feel anxious, uneasy, lonely, and tired.",toast,"Slow, quiet, soft, low, and foggy."
0,7.0,3.0,4.0,2.0,4.0,5.0,7.0,20.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,icecream,Sci-fi movie themed song
0,6.0,4.0,3.0,4.0,4.0,5.0,7.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,nostalgic and melancholic,ombre cake,The fading of summer
0,7.0,3.0,1.0,2.0,3.0,7.0,5.0,25.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,"Calm, introspective, somewhat dark",Cookie,"A breeze and leaves gently blowing, with a gentle, constant, and rhythmic hum in the background"
0,7.0,5.0,2.0,5.0,5.0,4.0,5.0,1000.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,The painting makes me feel like time is passing by very slowly. The clocks are hung up on the cliff or on the tree branches in a fluid and in melting motion. The melting represent that the clocks itself had been exposed to the sun for a long time indicating the passing of long time. Since the clock is located far from the water in the abyss with no people there stands a separate between present which is the water that flows and time being on the shore.,Cheese,The godfather
0,8.0,4.0,2.0,4.0,4.0,9.0,5.0,20.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,"time is passing too fast, sense of urgency, missing out, inevitable",Noodles ,"lonely, nostalgic, depressing "
0,6.0,4.0,2.0,2.0,4.0,4.0,5.0,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Slightly melancholy and pensive. The dismal foreground contrasted with the sparkling clarity and optimism of the background leads to a bittersweet feeling. ,Something earthy like yam. ,"Slow paced, detuned/slightly off-key electronic music with an intermittent warm pad sound that is contrastingly pure, pretty, and consoling sounding. The music would have sparse, minimal drum sounds. "
0,6.0,4.0,3.0,2.0,4.0,4.0,4.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,It makes me feel sad. Like the time is drippng. Kind of weird,noodles,"The soundtrack would be melancholic and quietly unsettling, with slow, lingering tones that feel slightly off-balance. The melody drifts without fully resolving, creating a sense of unease beneath its sadness. Subtle, irregular rhythms and faint dissonance give the music a strange, almost dreamlike quality, as if something familiar has been gently distorted."
0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,"I feel confused, but I really resonate with the depiction of the dropping clocks and sock platypus. Initially I feel a very strong wave of emotion but the more I look at it, the less I feel. ",Lasagna,Soundtrack is like <<everywhere at the end of time>> I guess
0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,25.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,"Uneasy, due to the distorted face, melted watches, and impossible geometry4",Meat jelly,"Something familiar, but slowed down and distorted"
0,7.0,3.0,3.0,4.0,4.0,8.0,7.0,1000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"This painting makes me feel a little conflicted.  At the foreground of the painting the setting is quite dark.  On the other hand, the background seems kind of peaceful as opposed to the bleak foreground.  The contrast seems both unsettling and calming in a sense. ","If this painting was a food, I guess it would be dark chocolate.  At first time looking at this painting it seems kind of bleak and unsettling.  The same way that dark chocolate isn't always the best tasting when you first try it.  However, the more you look at it, the more you acquire a calm appreciation for it, like how dark chocolate becomes enjoyable over time. ","I would imagine it being an alternative rock playlist, something that is calm and reflective but with a strong emotional complexity.  Something that carries a relaxing melody with more uneasy and reflective lyrics. "
0,7.0,4.0,2.0,5.0,3.0,3.0,5.0,50.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Makes me feel like I'm relaxed and it's time to sleep. ,mac and cheese,ticks and drums
0,9.0,4.0,2.0,2.0,4.0,4.0,7.0,3500000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"It makes me feel kind of uncomfortable but also interested. Everything feels off in a weird way, like things are not normal, and that makes me slightly uneasy but curious at the same time. Makes me think about my life ",Cottage cheese ,"Slow, quiet music with a slightly eerie haunting feeling. It feels stretched out and uncomfortable, like something is a bit off. Uncanny valley."
0,5.0,4.0,2.0,5.0,5.0,5.0,6.0,100.0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,"the painting has an eerie and/or melancholic ambiance to it. The droopiness of the clocks makes me feel as though time is slipping through my fingers, that no matter how hard we try to control it (hang it, set it down or aside) it will inevitably slip through my hands. Ultimately reminding me that time is fluid and uncontrollable. The silence and calmness of the background, the still water contrasts the clocks and makes it seem like time has stopped moving. Its difficult to describe, but I the distorted nature of the objects paired with the eerie calm invokes an existential feeling, almost sad, but not quite. ",like an undercooked egg. ,"Something eerie to create an atmospheric tension. Maybe some deep humming in the back, with some slow metallic distortions. even more subtly, there could be some frantic sounds underneath it all, a faint skittering to emphasize the anxiety induced by the feeling of emptiness. But I'd want to, above all else, emphasize the silent calm so maybe the track could be very low volume for most of it and transition between the loud and quiet. "
0,6.0,4.0,3.0,2.0,5.0,6.0,5.0,3000.0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,Like I am melting.,"cheese, maybe in a cheese board",a semi-constant ticking with background nature white noise
0,7.0,5.0,3.0,2.0,5.0,4.0,6.0,10000000.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"Melancholic, Lonely, Abandoned, Pensiveness",Shepherd's Pie,"Something out of a Christopher Nolan movie. Long, steady, sombre notes."
0,5.0,4.0,2.0,2.0,4.0,11.0,12.0,20.0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"This painting confuses me. I don’t usually associate the concept of time with a shoreline, as the two ideas feel quite contrasting. The shoreline suggests something natural and constant, while the clocks are ""droopy"" and create a sense of distortion. ",Popeyes ,"The soundtrack will be a slow, love song. Time at the beach alone with another."
0,7.0,4.0,1.0,1.0,5.0,4.0,5.0,10000.0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,"The painting makes me feel desperate, like I'm running out of time or that everything is on the verge of being lost. It's unsettling and somewhat confusing. There seems to be hope on the horizon but it's far and slipping away.",Cold spaghetti.,"Sombre music, slightly fast tempo, a feeling of dread. "
0,4.0,3.0,4.0,4.0,2.0,4.0,6.0,5000.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"It makes me feel a bit somber, calm, and nostalgic.",Pear,"It would include like an acoustic guitar and a simple, slow, calm melody. Similar to like latin music. "
0,7.0,4.0,2.0,2.0,5.0,7.0,4.0,80000.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"This painting makes me feel the fluidity of time, which in turn makes me feel a sense of existential dread. Overall, this painting makes me feel somewhat uncomfortable.","A piece of speck that has been left outside of it's packaging for 2 days, making it more dry.","A piano composition that is very quiet, lowkey and elegant but composed in such a way that it feels uncomfortable and anxious to listen to."
0,5.0,5.0,2.0,2.0,4.0,3.0,6.0,200.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,I feel the painting illustrates the passage of time and the inevitable change it brings. This is demonstrated with the clocks melting overtime.,Chocolate,"The sound track would have violin and piano, with long notes that fade out."
0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,10.0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,"This painting made me feel unrealistic, a little bit of conflict between chaos and peace.",A desert made of drinks like cocktail.,clock ticking with a little breeze in the background.
0,3.0,4.0,1.0,2.0,4.0,12.0,6.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"It is odd, I feel like it is a sad picture, but I cannot understand what happened in the picture, or what the message artist would like to tell us.",shawarma,"The music ""Memories"", in the movie Top Gun (1986), when Goose dies.

It is not very sad, but a bit sad desolate, and the picture and the music makes me reflect on memories, and regret on past things,  that you can't go back."
0,8.0,5.0,1.0,3.0,4.0,3.0,6.0,500.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,It provokes a daunting feeling in me. The unchanged solid landscape is juxtaposed with the melting clocks. Almost like that time is moving so fast it has melted but nothing has really changed. It reminds me of my own mortality and that the natural world does not care about our measures of time. Once our time is up the world does not relent.,beef wellington,"A slow strumming of guitar. The vocalist, if there is one, has a mournful tone to their lyrics. The distant playing of drums. And at the end all the instruments start to fade."
0,8.0,4.0,1.0,3.0,4.0,5.0,7.0,2000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,It makes me feel lonely and sad.,Pizza,sad and dreary
0,8.0,5.0,2.0,2.0,5.0,4.0,4.0,6000000.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"The painting makes me feel that time is fading, and there's no hope left for the living species on earth since the horse (is it?) is almost dying. The clock, lying like a lump of mud on the table and hanging on a tree branch like a bathrobe, makes me feel that time already lost its meaning in this space. The empty space and dark colors made me feel oppressed. At the same time, the messy lines made me feel disordered.",Crab.,"An indescribable sound of wind, accompanied by drumbeats without a fixed pattern. The deep sound of the piano is mixed with the faint sound of the violin."
0,8.0,5.0,2.0,2.0,5.0,6.0,6.0,5.0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,"This picture makes me feel uneasy but also reflective. The melting clocks make time feel strange and unreliable, and the empty landscape feels sad and lonely. It's like telling us to beware that time is always ticking.",Fried rice,"I imagine slow, echoing sounds with stretched notes and long pauses. The music would feel mellow and slightly unsettling, as if time is moving oddly and everything is suspended."
0,6.0,4.0,2.0,3.0,5.0,4.0,6.0,10.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,eerie,octopus,"slow, soft, sombre style"
0,8.0,2.0,4.0,5.0,2.0,4.0,5.0,1000.0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,This painting makes me feel calm.,a pizza,A calm sountrack with a relaxing and laze inducing melody 
0,5.0,5.0,1.0,1.0,4.0,7.0,7.0,10000000.0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,Surreal and sluggish as if everything is melting and slowing down,melted cheese,slow and slurry bass sounds with irregular rhythm
0,8.0,1.0,3.0,3.0,4.0,14.0,10.0,100.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"I feel a sense of quiet isolation. The vast, empty landscape and the stillness of the water create a very calm atmosphere, despite the strange objects. It makes me feel lonely, as if I am the only person left in a world where time has stopped moving.",noodle,"A very low-pitched voice, with a hollow quality. At the same time, the sound is sluggish."
0,9.0,4.0,1.0,1.0,5.0,4.0,8.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"weird, not sure what meaning does it want to convey, terrible, distortion.",Ginger,"The metallic sound mingled with coldness, distortion, dissonance, and emptiness."
0,9.0,5.0,1.0,3.0,4.0,4.0,4.0,10000.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,"This painting makes me feel sad, clocks usually represent time, and it looks like the time is ending. It seems tired and sad.",Like a burnt soup.,It must be a slow pace soundtrack and deep.
0,7.0,4.0,2.0,4.0,4.0,4.0,4.0,15.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Time is wasted,Apple,Instrumental
0,7.0,4.0,2.0,4.0,4.0,5.0,9.0,10000.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,It makes me feel warm and sad. Because the light seems warm but the melting clocks and shadow(darkness) seems a bit cold and sad.,Iced American a little while ago,"Sam Smith – Too Good at Goodbyes

 "
0,7.0,3.0,3.0,4.0,4.0,3.0,5.0,1000000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"This painting makes me feel calm and uneasy, it let me feel the time is going through anywhere. The distort clock let me rethink the meaning of time differs from people to people.",wine.,"The soundtrack will be peaceful, but we will be able to hear the rhythm like time passing, which like going through thousands of years."
0,9.0,4.0,2.0,2.0,4.0,5.0,6.0,50.0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,"sad 

tired 

feels depressing and lonely 

hopeless

running out of time 

no hope left",burnt toast,"very sad and melancholic 

slow tempo with violins playing sadly in background 

womp womp"
0,6.0,4.0,2.0,3.0,4.0,3.0,5.0,200.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,makes me feel uncomfortable knowing that time is passing. ,spaghetti,A tame impala album
0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"This painting makes me feel a little confused, but also quiet and calm. The melting clocks make time feel strange and unreal, like it doesn’t follow normal rules. The empty background feels lonely, which makes me think about time passing and how memories can fade. Overall, it feels like a dream that is slow and silent.",A piece of pizza left out too long.,"The soundtrack would be slow and very quiet, with long pauses between sounds. Soft, stretched notes would drift in and out, like they’re bending and fading before fully settling. The tempo would feel uncertain, never quite steady, making it hard to tell where one moment ends and the next begins."
0,8.0,4.0,1.0,1.0,5.0,3.0,3.0,1000.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,It makes me feel uneasy and disoriented. It depresses me. ,A cold and tasteless soup,"A slow and calm music, yet there's sadness or darkness in it. It gives the listener uneasiness. "
0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,100.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,this painting makes me feel like time is a warped concept as per the warped clocks.,carrot,smooth jazz
0,7.0,5.0,2.0,2.0,4.0,1.0,4.0,2500.0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,The colors chosen in this painting makes me feel dull and a little uneasy.,soup,"The soundtrack is a slow-burning, mix of soft strings and pulsing synths that creates a suspenseful, haunting mood."
0,4.0,4.0,1.0,2.0,5.0,6.0,6.0,0.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,"This painting mostly makes me feel uncomfortable and confused. It looks very strange, with everything warped and distorted, especially the way time seems to be shown. It feels like it is trying to say something about time or memory, but I’m not sure what exactly. The colours are quite dark and heavy, and the whole scene feels oddly still in a way that is not peaceful, more like a quiet that makes me uneasy. Overall, I don’t really like it and it does not give me any pleasant emotion.","If this painting was a food, it would be something unpleasant and hard to swallow. I imagine it as a dish with a strange, almost rotten taste, where the flavours don’t match and make you feel uneasy as you eat it. The texture would be soft and limp in a way that feels wrong, and there might be a bitter or metallic aftertaste that lingers in your mouth. It is not comforting or satisfying at all – instead, it would be the kind of food that makes you lose your appetite and feel slightly disturbed, even after you stop eating.","The soundtrack would be slow and minimal, with long, low notes that seem to hang in the air. There would be a soft, dull rhythm in the background, but nothing sharp or loud. The music would feel slightly out of tune or warped at times, creating a strange, heavy atmosphere. It would sound quiet on the surface, but underneath there would be a subtle tension that makes me feel a little uneasy."
0,6.0,3.0,2.0,2.0,3.0,3.0,4.0,100.0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,"It makes me feel unsettled yet curious, like everything has a time and things are going to die. There’s a sense of distortion that pulls me in and makes me reflect on how fragile and strange reality can feel, just like the dripping clock. Also in the left corner there is a slab (looks like a mirror), which makes me question why is it there and what is the painter trying to depict here.",m&m cookies,"Slow, echoing tones with long pauses between notes, creating a stretched, surreal atmosphere that feels slightly uncomfortable, like water waves with no sound, but deeply immersive."
0,8.0,4.0,2.0,1.0,4.0,4.0,5.0,100.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,alone and alarmed. ,kiwi,desolate harrowing note low tempo with fluid melodies slowly morphing into structured high tempo base and drums and back into mellow fluid but still odd melodies. 
0,8.0,3.0,3.0,3.0,3.0,6.0,3.0,1000000.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,The passaway of time.,Pizza,The soundtrack will be very serene and tranquil.
0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Weird cause there's hard things like watches that are soft and flimsy,asparagus,It would be uneasy sounds of nature
0,9.0,4.0,2.0,3.0,4.0,6.0,7.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"Nostaligic, empty, floating in time.",A homecooked meal like a stew.,"A calm, quiet piano melody. "
0,7.0,4.0,2.0,4.0,4.0,8.0,9.0,1000.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,It makes me question the concept of time and the time I have wasted throughout the years,Day old bread,Slow and quiet instrumental piece
0,9.0,5.0,4.0,1.0,5.0,3.0,3.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"I feel disturbed. There is a lot happening in this painting. For example, why are the clocks melting? What is that red thing at the left? What is the white thing in the middle that one of the clocks is resting on? There are a lot of questions unanswered. Also, the difference between the background, which is serene and relaxing is quite stark against the objects in the foreground. I don't understand what the painting is trying to convey.",Can of beans,"Unsettling instrumental, no lyrics, almost like horror movie music but a little more depressing than scary (not the type designed to increase your heart rate)."
